,BGC,idseq
0,AB001608,Cluster_0826651
1,AB019519,Cluster_1720985
2,AB032367,Cluster_0899741 EC:6.3.5.3 Cluster_1607418 Cluster_0153635 Cluster_0376514 Cluster_1223084
3,AB032524,Cluster_1014297 EC:1.1.1.100 Cluster_0567111
4,AB032799,EC:1.14.13.224 Cluster_0707499 EC:1.4.3.23
5,AB034704,Cluster_1031387 Cluster_0592369 EC:1.3.99.27
6,AB035547,Cluster_0447434 Cluster_1178519 EC:3.6.3.41
7,AB035548,Cluster_1677914 Cluster_1187546
8,AB037907,EC:2.5.1.10 Cluster_0666604 Cluster_0596582 Cluster_1209445 EC:5.3.3.2 Cluster_1361395 Cluster_1877969
9,AB040403,Cluster_1310953 Cluster_0816654 EC:3.5.4.25 Cluster_1502796 Cluster_0461385 Cluster_1370813
10,AB046994,Cluster_1004812
11,AB070936,Cluster_1505964 Cluster_1437620 Cluster_0073538 Cluster_0792780 Cluster_0364862 Cluster_1838152 Cluster_0479929 Cluster_0563619
12,AB070941,EC:3.6.3.17 Cluster_1408393 Cluster_1621468 Cluster_1050583 Cluster_0968728 Cluster_1474940 Cluster_0613901 Cluster_1818380 Cluster_0559375 Cluster_1591335
13,AB070942,Cluster_1020589 Cluster_0451705 Cluster_1234109 Cluster_1594362 EC:2.7.7.89 Cluster_1505123 Cluster_1299401 Cluster_0575621 Cluster_1215200 Cluster_0515362
14,AB070943,Cluster_0162214 Cluster_0349770 Cluster_0075152 Cluster_0714008 Cluster_0505917 Cluster_1821912 Cluster_0581468 Cluster_1095917 Cluster_0060118 Cluster_1057424
15,AB070944,Cluster_0014337 EC:2.7.1.17 EC:5.3.1.5 Cluster_0261899 Cluster_1909818 Cluster_0610929 Cluster_0242143 EC:1.1.1.18 Cluster_0973592 Cluster_1199860 Cluster_0034558
16,AB070945,EC:2.3.1.189 Cluster_0823195 Cluster_0406134 Cluster_1140967 Cluster_1804752 EC:3.6.3.44 Cluster_0819313 EC:1.3.1.9 Cluster_1420916 Cluster_1610462
17,AB070946,Cluster_1161354 Cluster_0339598 Cluster_0461156 Cluster_1337472 Cluster_1211269 EC:1.1.1.100 Cluster_1504325 Cluster_0509979 Cluster_0280551 Cluster_1313843 Cluster_1064340 Cluster_0391984 Cluster_0579794 Cluster_1649639 Cluster_0488235 Cluster_1397627 Cluster_0406134 Cluster_1606065 Cluster_1765601
18,AB070947,Cluster_1610462 Cluster_0962744 Cluster_0626634 Cluster_1818906 Cluster_0487661 Cluster_1130461 Cluster_0052207 EC:2.3.1.179 Cluster_0083602 Cluster_1555179 Cluster_1052792 EC:3.6.3.27 Cluster_0754414 Cluster_1104319 Cluster_1072311 Cluster_0848959 Cluster_0559313 Cluster_0540862 Cluster_0916347 EC:2.1.1.189 Cluster_0025988
19,AB070948,Cluster_0539927 Cluster_1718652 Cluster_1577878 EC:1.14.15.11 EC:2.3.1.74
20,AB070949,EC:3.1.2.14 EC:1.1.3.6 Cluster_0502834 Cluster_1898352 Cluster_1449151 EC:1.14.15.11 Cluster_0959548 Cluster_0338186 EC:4.2.1.109 Cluster_1567612 EC:2.3.1.165 Cluster_0239339 EC:2.7.2.4 Cluster_1180813 Cluster_0385013
21,AB070950,Cluster_1586392 Cluster_0313261 Cluster_1705017 Cluster_1449151 Cluster_1104951 EC:6.2.1.3 Cluster_1766912 Cluster_0812953 EC:1.1.1.100 Cluster_0092832 Cluster_0487280 Cluster_1900663
22,AB070951,Cluster_1161354 Cluster_0778296 Cluster_1893476 Cluster_1719901 Cluster_0349804 Cluster_0263899 EC:6.2.1.3 Cluster_0397133 Cluster_1209772 Cluster_1777879 Cluster_0719990 Cluster_0477283 Cluster_1602766 Cluster_1049102 Cluster_0874858 Cluster_0045337 Cluster_0447434
23,AB070952,Cluster_0740182 Cluster_0928268 Cluster_1000835 Cluster_0513864 Cluster_0901555 Cluster_0816105 Cluster_0541180 Cluster_1797352 Cluster_0477475 Cluster_0546883 Cluster_1534647 Cluster_0532593 Cluster_0657225 EC:2.6.1.9 Cluster_1854842 Cluster_0416988 Cluster_0377498
24,AB070953,Cluster_1749258 Cluster_1108014 Cluster_0978909 Cluster_1615889 Cluster_0560197 Cluster_1905097 Cluster_0831620
25,AB070954,Cluster_1420997 Cluster_0542152 Cluster_1818036 Cluster_1523383 Cluster_0094792 Cluster_0395183 Cluster_1644231
26,AB070955,Cluster_1028725 Cluster_1333842 Cluster_0660559 Cluster_0351547 Cluster_0477797 Cluster_0936751 Cluster_1441220 Cluster_1425328 Cluster_1861617 EC:2.3.1.180 Cluster_1368902 Cluster_0202073
27,AB070957,Cluster_0326445 Cluster_0173635 EC:6.2.1.3 EC:3.1.4.53 Cluster_0230163 Cluster_1341422 EC:6.2.1.26 Cluster_0183953 Cluster_1092332
28,AB071405,Cluster_0032639 EC:4.3.3.5 EC:1.4.3.23 EC:1.21.98.2 Cluster_1759893 Cluster_1102376 EC:2.1.1.315 Cluster_1110989 EC:1.5.1.30 Cluster_0839379 EC:1.14.19.9
29,AB072568,Cluster_1311132 Cluster_0097741 EC:4.3.1.28 Cluster_0836435
30,AB164633,Cluster_0265935 EC:3.6.4.12 EC:5.3.3.1 EC:2.3.1.111
31,AB254080,Cluster_0991556 Cluster_1665533 Cluster_0430634 Cluster_1314612 Cluster_0784926 EC:3.6.3.17 Cluster_0459885 Cluster_1045966 EC:6.3.1.5
32,AB254082,EC:2.4.1.284 Cluster_1645352 Cluster_1162458 Cluster_1783856 Unknown
33,AB268547,Cluster_1898352 Cluster_1199552 Cluster_0957966 Cluster_1849979 Cluster_1102752 Cluster_0354374 EC:4.2.1.46 Cluster_0020279 EC:2.7.7.24 Cluster_0212675
34,AB279593,Cluster_1799169 Cluster_0082063 EC:2.7.1.11 Cluster_0804444 EC:6.2.1.3 EC:6.3.5.4 Cluster_1717365 EC:6.2.1.3 Cluster_1264845 Cluster_0085261 Cluster_1215939 Cluster_0535699 Cluster_0977343 Cluster_0699178
35,AB307736,Cluster_1202201 Cluster_1712894 Cluster_0105771 EC:2.1.3.2 Cluster_0809934
36,AB307737,EC:6.3.4.16 EC:3.5.2.3 Cluster_1774007
37,AB437139,Unknown Cluster_0340644 Cluster_1187778 Cluster_0348840 Cluster_1022040
38,AB602249,EC:3.1.11.1 Cluster_1104033 Cluster_0711864 Cluster_1866563 Cluster_1821047 Cluster_1694265 Unknown EC:2.4.2.17 EC:1.1.1.23 EC:2.6.1.9 Cluster_0239339 Cluster_1841190 EC:5.3.1.16 Cluster_0697503 Cluster_1861135 Cluster_0891096 EC:1.1.1.22 EC:1.1.1.44 EC:2.3.1.227 EC:5.4.2.8 EC:2.7.7.13 Cluster_0061814 EC:1.1.1.271 EC:4.2.1.47 Cluster_0702945 EC:2.6.1.50 Cluster_0757142 Cluster_1169100 Cluster_1192309 EC:2.7.7.9 EC:5.1.3.7 Cluster_1449151 Cluster_0280551 Cluster_1511541 Cluster_1715094 Cluster_0451518 EC:2.7.7.13 Cluster_0270856 Cluster_1366959 EC:1.1.1.271 EC:4.2.1.47 Cluster_1076625 Cluster_0304335 Cluster_0706896 Cluster_1835367 Cluster_1606469 Cluster_1869715 EC:3.1.3.48 Cluster_0270368
39,AB602250,Cluster_0874339 Cluster_1014924 Cluster_1560425 Cluster_1339903 Cluster_0792331 Cluster_1821047 Cluster_0287601 Unknown EC:2.4.2.17 EC:1.1.1.23 EC:2.6.1.9 Cluster_0239339 Cluster_1872078 EC:5.3.1.16 Cluster_0665188 Cluster_1861135 Cluster_1180969 EC:1.1.1.22 EC:1.1.1.44 EC:2.3.1.227 Cluster_0451518 EC:2.7.7.13 Cluster_1149254 EC:1.1.1.271 EC:4.2.1.47 Cluster_0807408 EC:2.6.1.50 Cluster_1790783 Cluster_0964145 Cluster_1859366 EC:2.7.7.9 EC:5.1.3.7 Cluster_0620117 Cluster_1433555 Cluster_1418703 Cluster_0972552 Cluster_0451518 EC:2.7.7.13 Cluster_0656515 Cluster_0589495 EC:1.1.1.271 EC:4.2.1.47 Cluster_1866169 Cluster_1643379 Cluster_1490736 Cluster_0403636 Cluster_0035174 Cluster_1869715 EC:3.1.3.48 Cluster_0270368
40,AB602251,EC:3.1.11.1 Cluster_1104033 Cluster_0162869 Cluster_0917192 Cluster_1821047 Cluster_1694265 Unknown EC:2.4.2.17 EC:1.1.1.23 EC:2.6.1.9 Cluster_0239339 Cluster_0201874 EC:5.3.1.16 Cluster_0697503 Cluster_1861135 Cluster_0832358 EC:1.1.1.22 EC:1.1.1.44 EC:2.3.1.227 EC:5.4.2.8 EC:2.7.7.13 Cluster_0061814 EC:1.1.1.271 EC:4.2.1.47 Cluster_0702945 EC:2.6.1.50 Cluster_0757142 Cluster_1169100 Cluster_1192309 EC:2.7.7.9 EC:5.1.3.7 Cluster_0375649 Cluster_0506492 Cluster_1761394 Cluster_1729509 Cluster_0451518 EC:2.7.7.13 Cluster_0567274 Cluster_1473458 EC:1.1.1.271 EC:4.2.1.47 Cluster_0119226 Cluster_0939242 Cluster_1447213 Cluster_0403636 Cluster_0035174 Cluster_1869715 EC:3.1.3.48 Cluster_0357299
41,AB602252,EC:3.1.11.1 Cluster_0659402 Cluster_1104033 Cluster_0711864 Cluster_1899197 Cluster_1821047 Cluster_1694265 Unknown EC:2.4.2.17 EC:1.1.1.23 EC:2.6.1.9 Cluster_0239339 Cluster_0201874 EC:5.3.1.16 Cluster_0697503 Cluster_1861135 Cluster_0891096 EC:1.1.1.22 EC:1.1.1.44 EC:2.3.1.227 EC:5.4.2.8 EC:2.7.7.13 Cluster_0061814 EC:1.1.1.271 EC:4.2.1.47 Cluster_0702945 EC:2.6.1.50 Cluster_0757142 Cluster_1169100 Cluster_1192309 EC:2.7.7.9 EC:5.1.3.7 Cluster_0242809 Cluster_1336552 Cluster_1511541 Cluster_1715094 Cluster_0451518 EC:2.7.7.13 Cluster_1867220 Cluster_1473458 EC:1.1.1.271 EC:4.2.1.47 Cluster_0929395 Cluster_0682169 Cluster_0779226 Cluster_0403636 Cluster_0556648 EC:2.7.10.2 EC:3.1.3.48 Cluster_0831470
42,AB602253,Cluster_0711907 EC:1.1.1.22 EC:1.1.1.44 EC:2.3.1.227 Cluster_0451518 EC:2.7.7.13 Cluster_1149254 EC:1.1.1.271 EC:4.2.1.47 Cluster_0807408 EC:2.6.1.50 Cluster_0804411 Cluster_0964145 Cluster_1192309 EC:2.7.7.9 Cluster_0059106 Cluster_0322945 Cluster_0337881 Cluster_0554931 Cluster_0972552 Cluster_0451518 EC:2.7.7.13 Cluster_1698828 Cluster_0014927 EC:1.1.1.271 EC:4.2.1.47 Cluster_0214407 Cluster_1165536 Cluster_0700356 Cluster_0888083 Cluster_1841707 Cluster_1869715 EC:3.1.3.48 Cluster_0270368
43,AB621357,EC:2.1.1.264 EC:1.13.11.80 Cluster_1222549 Cluster_1018463 EC:3.1.2.14 Cluster_1361673 EC:2.6.1.103 Unknown
44,AB621369,Cluster_0230163 Cluster_0609829 EC:6.2.1.26 Cluster_0360865 Cluster_1523383 Cluster_1169834 EC:3.6.3.34 Cluster_0015486 Cluster_0589711 Cluster_1888788 Cluster_0373354 EC:6.3.2.14 EC:3.3.2.1 EC:4.1.1.22 Cluster_0420614 EC:3.6.3.42 Cluster_1655028 Cluster_1381988 Cluster_0094096 Cluster_1609432 Cluster_0419651 Cluster_0546545 Cluster_0706643 Cluster_1840774
45,AB627352,EC:5.1.3.7 EC:2.7.7.9 Cluster_0657431 Cluster_1897338 Cluster_0312692 Cluster_0970700 Cluster_1738902 EC:2.7.7.13 EC:5.4.2.8 Cluster_1835703 Cluster_1905109 EC:1.1.1.44 EC:1.1.1.22 Cluster_0202630
46,AB636682,Cluster_1765601 Cluster_1706248 Cluster_0208753 Cluster_1089380 Cluster_1873024 Cluster_0308771 Cluster_0211051 Cluster_1846085 Cluster_0553691 Cluster_1362814
47,AB643578,Cluster_1268291 Cluster_0513716 Cluster_0181604 Cluster_0468397
48,AB684620,Cluster_0859469 Cluster_1074924 Cluster_1174207 Cluster_0242352 Cluster_0470740 Cluster_0964471 Cluster_0394208 Cluster_1055404 Cluster_0107522 Cluster_0801633 Cluster_0871898 Cluster_0327293 Cluster_0211051 Cluster_1493077 Cluster_1572259 Cluster_0794732 EC:6.1.2.2 Cluster_0507892 Cluster_0963161 Cluster_1641406 Cluster_0519390
49,AB704860,Cluster_0992190 Cluster_0468447 Cluster_0356336 EC:1.1.1.22 EC:1.1.1.44 EC:5.1.3.2 Cluster_1140527 Cluster_0886357 Cluster_1043655 Cluster_0674800 Cluster_0402868 EC:2.6.1.90 Cluster_0304335 EC:5.3.2.3 EC:2.7.7.24 EC:4.2.1.46 EC:2.7.7.9 Cluster_0408670
50,AB704861,Cluster_0630217 Cluster_1861135 Cluster_0767334 EC:1.1.1.22 EC:1.1.1.44 EC:5.1.3.2 Cluster_0972491 Cluster_1160522 Cluster_0971709 Cluster_1192257 Cluster_0571584 EC:2.6.1.90 Cluster_1209770 EC:5.3.2.3 EC:2.7.7.24 EC:4.2.1.46 EC:2.7.7.9 Cluster_0231832
51,AB727666,Cluster_1604272 Cluster_1083621 Cluster_1569861 Cluster_1517419 Cluster_0264961 Cluster_1196035 Cluster_1629878 Cluster_0491710 Cluster_1834639 Cluster_1823601 Cluster_1433175 Cluster_0990255 Cluster_1652667 Cluster_0554161 Cluster_0059161 Cluster_0524311 Cluster_1860093 Cluster_0718003 EC:3.7.1.3 Cluster_0398508 Cluster_1065968 Cluster_1433555 EC:3.6.4.12 EC:1.14.13.22
52,AB746937,Cluster_1634391 Cluster_0347848 Cluster_0527822 Cluster_0736641 EC:2.1.1.237 EC:2.1.1.64 Cluster_1741226 Cluster_0866292 Cluster_1222742 Cluster_0630734 Cluster_0420680 EC:2.1.1.197 Cluster_0884547 Cluster_0959763 Cluster_1372903 Cluster_1063191 Cluster_1882270
53,AB794886,EC:2.3.1.184 Cluster_1596070 Cluster_0176459 Cluster_1224699 EC:2.5.1.54 Cluster_1038437 EC:4.1.3.27 EC:5.3.3.17 Cluster_0930556 Cluster_1377140
54,AB795941,EC:2.7.7.13 EC:5.4.2.2 EC:1.1.1.22 Cluster_0537423 EC:2.7.7.13 EC:5.4.2.2 Cluster_0785715 EC:3.6.3.40 EC:2.1.1.294 Cluster_0705437 Cluster_1772543 Cluster_0243128
55,AB795942,EC:2.7.7.13 EC:5.4.2.2 EC:4.2.1.46 EC:2.7.7.24 Cluster_1218730 EC:5.1.3.13 EC:1.1.1.22 Cluster_0435180 EC:4.2.1.46 Cluster_0509727 Cluster_0304335 EC:5.1.3.13 Cluster_1748863 Cluster_0076230 Cluster_1899692 Cluster_0377333
56,AB795943,EC:2.7.7.13 EC:5.4.2.2 EC:1.1.1.22 Cluster_0435180 Cluster_0911816 Unknown Cluster_0942706 EC:5.4.99.9 Cluster_0691729 Cluster_0912400 Cluster_1124483
57,AB819892,Cluster_1714141 EC:2.7.8.31 Cluster_0272914 Cluster_0580215 Cluster_0082112
58,AB819893,EC:2.7.7.9 Cluster_1289595 Cluster_1009142 Cluster_0093497 EC:3.1.3.48 EC:2.7.10.2 Cluster_0595417 Cluster_0271520 Cluster_1646530 Cluster_1104951 Cluster_0913601 Cluster_0189500 Cluster_1785310 EC:1.1.1.44 Cluster_1328074
59,AB819894,EC:2.7.7.9 Cluster_1289595 Cluster_1175098 Cluster_0093497 EC:3.1.3.48 EC:2.7.10.2 Cluster_0595417 Cluster_1649277 Cluster_1646530 Cluster_1791130 Cluster_1586549 Cluster_0189500 Cluster_1173107 EC:1.1.1.44
60,AB819895,EC:2.7.7.9 Cluster_1150669 Cluster_1147217 Cluster_0185910 Cluster_1362814 Cluster_0971254 Cluster_1046556 Cluster_1157038 Cluster_1735882 Cluster_1578487 Cluster_1619409 Cluster_0678055 Cluster_1415773 Cluster_0041535 EC:1.6.5.3
61,AB819896,Cluster_0311861 EC:2.7.8.6 Cluster_0773411 Cluster_0585129 Cluster_0317972 Cluster_0733694 Cluster_1740489 Cluster_0113983 Cluster_1891130 EC:1.1.1.44
62,AB819897,Cluster_0096134 Cluster_1719442 Cluster_0222010 Cluster_1569103 Cluster_0470435 Cluster_0813568 Cluster_1057233 Cluster_0670523
63,AB819962,EC:2.7.7.13 EC:5.4.2.2 EC:1.1.1.22 Cluster_0537423 EC:2.7.7.13 EC:5.4.2.2 Cluster_0172813 EC:3.6.3.40 Cluster_0240667 Cluster_0321203 Cluster_1563710 Cluster_0243128
64,AB819963,Cluster_0087659 Cluster_0074328 EC:1.1.1.22 Cluster_0435180 Cluster_0349423 Cluster_1354946 Cluster_1340063 EC:5.4.99.9 Cluster_0929395 Cluster_0001292 Cluster_0792396 Cluster_1252803
65,AB819964,Cluster_0702799 EC:5.4.2.2 EC:1.1.1.22 EC:5.1.3.12 Cluster_0435180 Cluster_1121844 Cluster_0733024 Cluster_0549288 EC:5.4.99.9 Cluster_1534568 Cluster_0333825 Cluster_0087187
66,AB822494,EC:2.7.7.9 Cluster_1729441 Cluster_1900875 Cluster_1232094 Cluster_0812698 Cluster_1243849 Cluster_0519424 Cluster_1435456 Cluster_0984919 Cluster_0812698
67,AB830104,Cluster_0128324 Cluster_0912443 Cluster_1382703 Cluster_0807071 Unknown Cluster_0642099 Cluster_0052113 Cluster_1406233 Cluster_0597192 EC:2.4.2.4 EC:2.6.1.62 Cluster_1576498 Cluster_1343179 Cluster_0772416 EC:2.2.1.1 Cluster_0898725 Cluster_0034865 Unknown Cluster_0232596 Cluster_0473482 Cluster_0466606 Cluster_0764890 Unknown Cluster_1443623 Unknown Cluster_1325162
