ID,sentence,labels,isBGC
BGC0000436,Cluster_1153963 Cluster_1501678 Cluster_1607345 Cluster_1534836 Cluster_1124421 EC:6.2.1.3 Cluster_0034481,NRP,Yes
BGC0000918,Cluster_0698230 EC:1.13.11.27 Cluster_1230425 Cluster_1141962,Other,Yes
BGC0000740,Cluster_1607346 Cluster_0676609 Cluster_0901723 Cluster_1016382 EC:1.6.5.3 Cluster_0693987 Cluster_1424879,Saccharide,Yes
BGC0002659,Cluster_1042555 Cluster_0095569 Cluster_1763894 Cluster_1370490 Cluster_0643376,RiPP,Yes
BGC0001750,Cluster_0175250 Cluster_1313057 EC:6.2.1.3 Cluster_1827681 Cluster_1747296 Cluster_0223573 Cluster_1159173 EC:6.2.1.3 Cluster_1159173 Cluster_1159173 EC:3.1.2.14 Cluster_0616194 Cluster_0207751 Cluster_1607347 Cluster_0918078 Cluster_1766983 Cluster_1712887 Cluster_1607348 Cluster_0713743 Cluster_0381092 Cluster_1380733 Cluster_1686978,NRP Polyketide,Yes
BGC0002456,Cluster_0398075 Cluster_0152144 EC:2.7.7.6 Cluster_0966815 EC:1.18.1.2 Cluster_1537543 Cluster_1044407 Cluster_0799206 Cluster_1555084 Cluster_1159173 EC:2.3.1.38 Cluster_1465054 EC:2.3.1.94 Cluster_1555084 Cluster_0455837 Cluster_0966815 Cluster_1682703 Cluster_0361886,Polyketide NRP,Yes
BGC0001999,Cluster_0232228 Cluster_0172813 Cluster_0264961 Cluster_1224699 Cluster_0172813 EC:6.2.1.3 Cluster_1434241 Cluster_0969645 EC:3.6.3.28 EC:3.6.3.44 Cluster_0803731 Cluster_1237581 Cluster_1501678 Cluster_1199471 Cluster_1341157,NRP,Yes
BGC0000882,Cluster_1657081 Cluster_0937957 Cluster_0343222 Cluster_1021965 Cluster_1073374 Cluster_1205960 Cluster_0627192 Cluster_1205961 Cluster_1205962 Cluster_1073373 Cluster_1847313 Cluster_1205963 Cluster_1720201 Cluster_0913370 Cluster_0860590 EC:3.6.3.41 Cluster_0481389,Other,Yes
BGC0001383,EC:2.3.1.39 EC:2.4.2.31 Cluster_0205687 Cluster_0879957 Cluster_0205687 Cluster_0205687 Cluster_1448647 Cluster_1473116 Cluster_0929118,Polyketide,Yes
BGC0000472,Cluster_0874193 Cluster_1255688 Cluster_1830047 Cluster_0493105 Cluster_1610954 Cluster_0395119 Cluster_0569733 Cluster_0958538 Cluster_0535282 Cluster_0094857 Cluster_0929002 Cluster_0493105 Cluster_0167474 Cluster_0111311,RiPP,Yes
BGC0000739,Cluster_0536771 Cluster_1549710 EC:2.4.1.226 EC:1.1.1.22 Cluster_0234483 Cluster_0907692,Saccharide,Yes
BGC0001665,EC:2.3.1.233 EC:2.3.1.94 EC:4.2.1.136 EC:2.3.1.94 EC:2.3.1.74 Cluster_0105435,Polyketide,Yes
BGC0002607,Cluster_1747296 Cluster_0172536 Cluster_0675580 Cluster_1704211 Cluster_1516797,NRP Polyketide,Yes
BGC0001413,Cluster_0301196 Cluster_1429602 Cluster_0454800 Cluster_0942706 Cluster_0342241 Cluster_1354201 Cluster_1199471 Cluster_0893529 Cluster_0643377 EC:2.6.1.85 Cluster_1207787 Cluster_0765123 EC:6.2.1.3 Cluster_0775143 Cluster_1714141 Cluster_1228335 EC:2.4.1.13 Cluster_0780650 EC:2.5.1.54 Cluster_1034059 Cluster_1053986 Cluster_1841688 Cluster_1590010 EC:3.6.3.28,NRP,Yes
BGC0002124,Cluster_0197140 Cluster_0415564 Cluster_0179568 Cluster_0197140 Cluster_1532386 Cluster_1073375 Cluster_0896618 Cluster_1073378 EC:2.3.1.94 Cluster_1073379 Cluster_1044407 Cluster_1809265 Cluster_0157144 Cluster_1570114 Cluster_0836435 Cluster_1181355 EC:2.3.1.165 EC:2.3.1.111 EC:3.6.4.12 EC:2.7.7.42 Cluster_1073376 Cluster_1869715 Cluster_0436129 Cluster_1802064 EC:2.3.1.74 EC:2.1.1.104 Cluster_0704649 Cluster_0569818 Cluster_1644386 Cluster_0616166 Cluster_0966815 Cluster_0779982 Cluster_1599952 Cluster_1785310 EC:3.1.2.14 EC:2.4.1.1 Cluster_1514715 EC:2.7.8.7 Cluster_0321044 Cluster_1073380 Cluster_0968931 Cluster_1718227 Cluster_0283556 Cluster_1291085 Cluster_1302877 Cluster_1073381 Cluster_1073377,Polyketide,Yes
BGC0002565,EC:6.2.1.3 EC:6.2.1.3 Cluster_0803731 Cluster_1237581 Cluster_0469508 Cluster_0264961 Cluster_1224699 Cluster_0817382 Cluster_0307841 EC:6.2.1.3 Cluster_1228335 EC:3.1.2.14,NRP,Yes
BGC0001851,Cluster_0010015 EC:2.6.1.50 EC:2.1.1.234 Cluster_0225358 Cluster_1714433 Cluster_1579119 Cluster_0714518 EC:2.1.1.234 Cluster_0629862 Cluster_0393170 EC:2.4.1.327 EC:1.1.3.45 Cluster_0805133 Cluster_0750702 Cluster_1021202 EC:2.1.1.292 EC:3.1.1.95 Cluster_1095917 EC:5.5.1.23 Cluster_1218646 EC:2.3.1.179 Cluster_0947447 Cluster_0819229 Cluster_0662321 EC:2.4.1.327 EC:1.1.1.362 Cluster_0616194 Cluster_1172362 Cluster_1681430 Cluster_0944500 Cluster_0805133 EC:1.14.13.180 Cluster_0451181 Cluster_0616194 Cluster_1910999 Cluster_1693722 Cluster_1081185 EC:2.1.1.288 EC:5.1.3.13 Cluster_0390833 EC:3.6.4.12,Polyketide Saccharide,Yes
BGC0002072,EC:3.5.3.11 EC:6.4.1.3 Cluster_0321044 Cluster_1514715 EC:2.7.8.7 Cluster_1608216 Cluster_0265579 Cluster_1207787 EC:2.7.7.24 EC:3.6.3.17 Cluster_1206000 Cluster_1326948 EC:2.7.7.89 EC:2.2.1.2 EC:2.3.1.94 Cluster_1465054 Cluster_1465054 EC:2.3.1.94 EC:2.3.1.94 EC:2.3.1.94 Cluster_1465054 Cluster_0202649 Cluster_0945462 Cluster_1773617 Cluster_0497380 Cluster_0659041 Cluster_0321044,Polyketide,Yes
BGC0001001,EC:2.4.1.13 Cluster_1413951 Cluster_1699519 Cluster_1073382 Cluster_1549266 Cluster_1392144 Cluster_0293508 Cluster_1354170 EC:2.3.1.39 Cluster_1736527 Cluster_0947447 EC:2.3.3.10 Cluster_0410718 EC:4.2.1.3 Cluster_1159173 EC:2.4.1.1 Cluster_1159173 Cluster_1026987 Cluster_1124421 Cluster_0983199 Cluster_1536421 Cluster_1270076 Cluster_1125184 Cluster_0925982 Cluster_1541301 Cluster_1162449,NRP Polyketide,Yes
BGC0002462,Cluster_1036579 Cluster_0369121 Cluster_0249989 Cluster_0277938 Cluster_0149701 Cluster_0643378 Cluster_0585700,Saccharide,Yes
BGC0000776,EC:2.4.99.12 Cluster_1357773 Cluster_0289557 Cluster_1741287 Cluster_1766534 Cluster_1766534 Cluster_0426008 Cluster_1766534 Cluster_1461973 Cluster_1145840 Cluster_1413801,Saccharide,Yes
BGC0000691,Cluster_1125125 Cluster_1816866 Cluster_0927147 Cluster_0282493 Cluster_0952189 EC:2.6.1.62 Cluster_1154972 Cluster_0767559 EC:2.7.7.27 Cluster_0648696 Cluster_0767559 Cluster_1036579 Cluster_0251447 EC:2.7.1.187 EC:2.7.1.188 Cluster_0204845 Cluster_0819229 EC:5.1.3.35 EC:4.2.3.4 EC:4.2.1.46 EC:2.7.7.24 Cluster_1816866 Cluster_0339541 Cluster_0201874 Cluster_1449151 Cluster_0732693 Cluster_1750286 Cluster_0724785,Saccharide,Yes
BGC0001343,Cluster_0974527 Cluster_0079889 Cluster_0618865 Cluster_0389855 EC:3.6.3.28 Cluster_0654585 Cluster_0694390 Cluster_1710375 Cluster_0261543 Cluster_0436476 Cluster_1891570 Cluster_0313056 EC:2.3.1.179 Cluster_0947447 Cluster_1768964 Cluster_0999175 Cluster_1460640 Cluster_1348425,Polyketide,Yes
BGC0002141,Cluster_1199429 EC:4.2.1.46 Cluster_1793384 Cluster_0621617 Cluster_0267503 Cluster_1831569 Cluster_0714518 Cluster_0947447 EC:2.3.1.179 Cluster_0070386 Cluster_0488743 Cluster_1344435 Cluster_1880097 Cluster_0662321 Cluster_0455485 Cluster_0364599 Cluster_1222549 Cluster_0089494 Cluster_1192257 Cluster_1669312 Cluster_1308298 EC:1.14.13.185 Cluster_0118090 EC:1.18.1.3 Cluster_0996241 Cluster_1217882 Cluster_1809265 Cluster_1900631 Cluster_1579119 Cluster_0839379 Cluster_0393170 Cluster_0390833 Cluster_0010015 Cluster_1192257 Cluster_1539570 Cluster_1809265 Cluster_1714433 Cluster_1061124 Cluster_0758588 Cluster_0819229 Cluster_1349926 Cluster_0566414 Cluster_0805133 Cluster_1714433 Cluster_1308298 Cluster_0805133 EC:1.1.1.184 Cluster_0641043 Cluster_0243752 Cluster_1501199 Cluster_0805133 Cluster_0641043 EC:1.14.13.185 Cluster_0641043 Cluster_0786364 Cluster_1886063,Polyketide,Yes
BGC0001113,Cluster_1645182 Cluster_0649441 Cluster_1275743 EC:3.2.1.23 EC:2.7.7.89 Cluster_1606392 EC:2.3.1.31 Cluster_1324949 Cluster_0410718 Cluster_1736527 EC:4.1.1.87 Cluster_0008689 Cluster_1228335 Cluster_0273961 Cluster_0677391,NRP Polyketide,Yes
BGC0002046,Cluster_1796927 Cluster_1607349 Cluster_0612467 Cluster_0433711 Cluster_1159173 Cluster_1465054 EC:2.7.7.59 EC:2.4.1.12 EC:2.7.9.1 Cluster_1607350 Cluster_0473065 Cluster_1607351 Cluster_0155362 Cluster_0087446 Cluster_0412609 Cluster_1507752 Cluster_0443689 Cluster_1293158 Cluster_1914574 Cluster_0017964 Cluster_1577774,NRP Polyketide,Yes
BGC0001016,Cluster_1567908 Cluster_1760476 Cluster_1616723 EC:1.1.1.26 Cluster_1190184 Cluster_0033958 Cluster_0451180 EC:2.4.1.13 EC:2.1.1.197 EC:2.7.7.89 EC:6.2.1.3 Cluster_1124421 Cluster_1401172,NRP Polyketide,Yes
BGC0002139,Cluster_0306757 Cluster_0099605 Cluster_1102874 Cluster_0299640 Cluster_0453545 Cluster_0831424 Cluster_0168089 Cluster_1192257,Polyketide,Yes
BGC0002625,Cluster_0815979 Cluster_1507506 Cluster_1211396 Cluster_1453615 Cluster_0777228 Cluster_0306765 Cluster_1159173 EC:2.1.1.197 EC:6.2.1.3 Cluster_0603716 Cluster_1616723,NRP Polyketide,Yes
BGC0000746,Cluster_1607346 Cluster_0676609 Cluster_0901723 Cluster_1016382 EC:1.6.5.3 Cluster_0693987 Cluster_1424879,Saccharide,Yes
BGC0001610,EC:2.1.1.197 Cluster_0688995 Cluster_0818156 Cluster_1209885 Cluster_1277708 Cluster_1838683 Cluster_1021965 Cluster_1196787 Cluster_0990344 Cluster_1070279 Cluster_1172847 Cluster_1019839 Cluster_0640009 Cluster_0705606 Cluster_0430799,Other,Yes
BGC0000929,Cluster_1712887 Cluster_1168354 EC:3.5.4.25 Cluster_1011338 Cluster_0794794 EC:3.5.4.26,Other,Yes
